Timestamp,Sample_Time,CH1,CH3
613988965,0,571,548
614000817,11852,560,550
614012817,23852,575,543
614024706,35741,571,548
614036668,47703,568,542
614048613,59648,571,530
614060557,71592,571,549
614072483,83518,562,547
614084371,95406,565,545
614096408,107443,576,541
614108260,119295,565,535
614120204,131239,576,544
614132093,143128,572,555
614144037,155072,571,558
614155870,166905,562,561
614167777,178812,581,568
614179685,190720,577,555
614191610,202645,566,553
614203573,214608,572,554
614215425,226460,561,537
614227276,238311,569,545
614239239,250274,557,552
614251072,262107,568,556
614262998,274033,572,555
614274905,285940,568,551
614286849,297884,559,549
614298720,309755,560,540
614310571,321606,564,539
614322478,333513,558,538
614334404,345439,571,538
614346274,357309,562,543
614358144,369179,564,551
614370033,381068,569,549
614381959,392994,568,551
614393885,404920,561,543
614405755,416790,561,540
614417662,428697,571,543
614429588,440623,571,540
614441439,452474,566,539
614453347,464382,575,543
614465254,476289,575,540
614477198,488233,572,549
614489087,500122,568,548
614501012,512047,562,541
614512920,523955,566,542
614524827,535862,565,547
614536753,547788,574,545
614548623,559658,571,549
614560530,571565,564,539
614572456,583491,571,538
614584381,595416,566,541
614596270,607305,569,542
614608122,619157,563,548
614620029,631064,575,539
614631936,642971,566,548
614643862,654897,570,552
614655788,666823,567,546
614667695,678730,556,544
614679584,690619,562,542
614691472,702507,557,544
614703379,714414,565,543
614715268,726303,565,543
614727212,738247,565,535
614739064,750099,572,545
614750934,761969,574,553
614762860,773895,561,545
614774730,785765,572,540
614786600,797635,572,547
614798545,809580,559,547
614810489,821524,568,544
614822415,833450,575,548
614834322,845357,564,547
614846247,857282,564,546
614858099,869134,572,548
614870025,881060,564,546
614881914,892949,569,557
614893858,904893,580,548
614905709,916744,566,564
614917672,928707,568,546
614929561,940596,577,553
614941431,952466,572,559
614953338,964373,572,554
614965227,976262,580,549
614977116,988151,572,551
614989023,1000058,570,543
615000893,1011928,564,536
615012800,1023835,564,550
615024670,1035705,568,541
615036578,1047613,568,540
615048429,1059464,573,531
615060355,1071390,563,535
615072225,1083260,570,536
615084188,1095223,566,540
615096058,1107093,565,549
615107928,1118963,574,543
615119817,1130852,563,542
615131706,1142741,559,541
615143576,1154611,565,544
615155502,1166537,560,539
615167372,1178407,564,548
615179316,1190351,574,533
615191168,1202203,564,543
615203093,1214128,575,552
615214927,1225962,578,549
615226852,1237887,567,552
615238722,1249757,565,544
615250611,1261646,570,544
615262444,1273479,565,545
615274370,1285405,565,540
615286222,1297257,566,551
615298147,1309182,564,543
615309999,1321034,566,552
615321925,1332960,560,556
615333832,1344867,571,554
615345758,1356793,568,552
615357646,1368681,571,551
615369535,1380570,568,544
615381424,1392459,573,548
615393294,1404329,577,542
615405238,1416273,571,542
615417164,1428199,571,552
615429053,1440088,569,540
615440904,1451939,564,541
615452811,1463846,565,543
615464682,1475717,568,546
615476626,1487661,560,548
615488515,1499550,561,537
615500403,1511438,565,548
615512273,1523308,569,544
615524162,1535197,571,544
615536069,1547104,570,560
615547921,1558956,567,560
615559810,1570845,567,543
615571735,1582770,571,546
615583606,1594641,571,532
615595494,1606529,566,550
615607401,1618436,566,540
615619253,1630288,563,556
615631142,1642177,569,543
615642975,1654010,570,541
615654919,1665954,563,539
615666789,1677824,570,541
615678678,1689713,568,539
615690604,1701639,561,548
615702455,1713490,566,549
615714400,1725435,567,544
615726288,1737323,572,565
615738177,1749212,571,555
615750029,1761064,579,557
615761973,1773008,576,562
615773825,1784860,574,538
615785713,1796748,566,549
615797639,1808674,571,537
615809509,1820544,567,541
615821435,1832470,568,559
615833268,1844303,557,545
615845231,1856266,566,549
615857101,1868136,570,544
615869045,1880080,568,540
615880934,1891969,573,533
615892804,1903839,569,547
615904656,1915691,559,545
615916526,1927561,566,549
615928396,1939431,564,542
615940322,1951357,570,541
615952174,1963209,571,547
615964081,1975116,553,541
615975951,1986986,572,554
615987840,1998875,566,545
615999710,2010745,574,554
616011635,2022670,566,547
616023487,2034522,568,544
616035394,2046429,572,539
616047283,2058318,561,548
616059172,2070207,575,552
616071079,2082114,566,553
616083060,2094095,571,544
616095004,2106039,570,537
616106893,2117928,582,539
616118819,2129854,569,536
616130689,2141724,566,554
616142559,2153594,566,559
616154503,2165538,574,542
616166392,2177427,575,552
616178299,2189334,571,545
616190188,2201223,572,549
616202058,2213093,569,538
616213928,2224963,568,545
616225780,2236815,570,552
616237706,2248741,572,550
616249557,2260592,571,544
616261465,2272500,570,552
616273409,2284444,569,547
616285242,2296277,562,536
616297149,2308184,567,538
616309019,2320054,564,542
616320964,2331999,560,552
616332871,2343906,569,550
616344741,2355776,575,547
616356630,2367665,564,538
616368481,2379516,570,555
616380407,2391442,572,553
616392240,2403275,573,555
616404166,2415201,572,544
616415999,2427034,563,554
616427851,2438886,569,544
616439776,2450811,570,543
616451647,2462682,566,527
616463572,2474607,573,541
616475406,2486441,569,541
616487331,2498366,565,548
616499220,2510255,573,556
616511109,2522144,575,561
616523053,2534088,568,555
616534942,2545977,578,554
616546849,2557884,571,556
616558719,2569754,574,560
616570645,2581680,570,553
616582607,2593642,573,546
616594478,2605513,564,549
616606366,2617401,570,546
616618255,2629290,568,540
616630144,2641179,564,530
616642051,2653086,569,537
616653995,2665030,561,538
616665828,2676863,560,536
616677754,2688789,569,551
616689643,2700678,568,543
616701513,2712548,563,542
616713402,2724437,559,539
616725290,2736325,570,545
616737142,2748177,569,554
616749086,2760121,571,542
616760956,2771991,557,546
616772845,2783880,566,541
616784678,2795713,566,540
616796585,2807620,571,538
616808530,2819565,571,546
616820381,2831416,565,540
616832307,2843342,567,536
616844251,2855286,570,542
616856177,2867212,564,547
616868047,2879082,583,539
616879973,2891008,569,551
616891862,2902897,568,552
616903732,2914767,575,555
616915620,2926655,563,543
616927472,2938507,574,550
616939361,2950396,564,546
616951231,2962266,567,549
616963194,2974229,563,558
616975064,2986099,573,548
616986934,2997969,571,559
616998804,3009839,562,551
617010656,3021691,566,538
617022563,3033598,575,546
617034489,3045524,563,539
617046378,3057413,578,536
617058266,3069301,559,549
617070136,3081171,575,535
617082099,3093134,564,554
617093951,3104986,558,542
617105877,3116912,562,540
617117728,3128763,561,536
617129580,3140615,566,544
617141506,3152541,569,549
617153394,3164429,571,546
617165246,3176281,562,561
617177135,3188170,565,549
617188986,3200021,572,557
617200838,3211873,561,543
617212745,3223780,569,538
617224615,3235650,561,543
617236485,3247520,564,540
617248374,3259409,559,538
617260226,3271261,563,552
617272170,3283205,564,546
617284077,3295112,572,542
617295984,3307019,575,543
617307873,3318908,562,547
617319817,3330852,564,553
617331688,3342723,569,553
617343613,3354648,582,558
617355465,3366500,573,551
617367409,3378444,573,555
617379353,3390388,575,540
617391298,3402333,570,539
617403168,3414203,558,537
617415020,3426055,570,547
617426908,3437943,570,537
617438741,3449776,569,551
617450686,3461721,565,537
617462556,3473591,559,546
617474444,3485479,552,542
617486333,3497368,570,538
617498222,3509257,566,542
617510129,3521164,558,545
617522055,3533090,568,549
617533943,3544978,564,551
617545851,3556886,568,547
617557684,3568719,564,553
617569591,3580626,573,545
617581461,3592496,570,544
617593405,3604440,575,551
617605239,3616274,569,552
617617201,3628236,571,544
617629016,3640051,577,550
617640923,3651958,571,527
617652793,3663828,567,546
617664719,3675754,571,543
617676645,3687680,571,542
617688515,3699550,565,538
617700441,3711476,577,545
617712292,3723327,570,537
617724218,3735253,565,551
617736051,3747086,562,542
617747940,3758975,571,559
617759847,3770882,571,545
617771810,3782845,570,550
617783662,3794697,573,545
617795550,3806585,565,539
617807457,3818492,562,540
617819291,3830326,573,541
617831105,3842140,562,549
617843012,3854047,571,550
617854901,3865936,573,549
617866808,3877843,571,541
617878678,3889713,562,533
617890586,3901621,567,536
617902437,3913472,565,537
617914307,3925342,562,538
617926159,3937194,565,542
617938066,3949101,574,549
617950029,3961064,563,556
617966936,3977971,561,543
617979103,3990138,566,553
617991121,4002156,580,561
618003065,4014100,572,550
618015065,4026100,567,541
618026991,4038026,574,553
618038861,4049896,569,548
618050787,4061822,571,545
618062712,4073747,566,551
618074657,4085692,563,542
618086582,4097617,564,541
618098434,4109469,570,540
618110304,4121339,572,541
618122174,4133209,570,551
618134063,4145098,573,551
618145970,4157005,569,562
618157859,4168894,567,564
618169766,4180801,578,546
618181710,4192745,576,551
618193655,4204690,579,543
618205506,4216541,572,538
618217432,4228467,570,537
618229302,4240337,565,539
618241228,4252263,569,541
618253098,4264133,568,543
618265005,4276040,565,521
618276894,4287929,570,543
618288783,4299818,564,534
618300727,4311762,562,547
618312616,4323651,576,558
618324541,4335576,564,551
618336782,4347817,573,543
618348726,4359761,564,542
618360596,4371631,569,536
618372559,4383594,566,548
618384485,4395520,573,541
618396448,4407483,571,541
618408373,4419408,565,551
618420336,4431371,570,554
618432188,4443223,566,557
618444058,4455093,568,563
618455965,4467000,576,538
618467817,4478852,572,546
618479687,4490722,573,541
618491631,4502666,568,545
618503594,4514629,565,546
618515446,4526481,575,549
618527334,4538369,567,539
618539260,4550295,573,538
618551130,4562165,577,535
618563037,4574072,573,546
618574926,4585961,573,546
618586852,4597887,570,545
618598815,4609850,567,549
618610685,4621720,573,549
618622629,4633664,567,550
618634481,4645516,568,542
618646369,4657404,566,549
618658277,4669312,565,551
618670147,4681182,566,543
618682128,4693163,566,550
618694017,4705052,564,544
618705924,4716959,563,542
618717850,4728885,570,533
618729738,4740773,576,543
618741646,4752681,563,543
618753516,4764551,562,549
618765460,4776495,573,542
618777330,4788365,565,545
618789256,4800291,571,544
618801126,4812161,562,542
618812996,4824031,576,554
618824903,4835938,575,550
618836774,4847809,576,546
618848699,4859734,574,544
618860551,4871586,568,540
618872440,4883475,570,548
618884328,4895363,561,545
618896217,4907252,567,542
618908124,4919159,564,548
618920050,4931085,577,538
618931883,4942918,569,540
618943809,4954844,557,548
618955679,4966714,575,556
618967623,4978658,565,546
618979530,4990565,574,561
618991456,5002491,572,548
619003308,5014343,577,546
619015252,5026287,556,537
619027178,5038213,569,544
619039085,5050120,563,547
619051029,5062064,573,542
619062899,5073934,567,538
619074844,5085879,571,543
619086695,5097730,568,546
619098640,5109675,564,552
619110584,5121619,564,550
619122454,5133489,573,545
619134398,5145433,577,555
619146305,5157340,568,543
619158213,5169248,569,549
619170120,5181155,568,562
619181990,5193025,568,549
619193897,5204932,566,538
619205842,5216877,570,535
619217693,5228728,563,549
619229619,5240654,575,538
619241563,5252598,560,546
619253452,5264487,556,543
619265304,5276339,563,555
619277229,5288264,557,550
619289173,5300208,571,557
619301025,5312060,572,548
619312914,5323949,568,556
619324803,5335838,575,545
619336747,5347782,571,549
619348617,5359652,573,547
619360524,5371559,571,559
619372376,5383411,568,563
619384264,5395299,567,555
619396190,5407225,563,549
619408079,5419114,568,544
619419968,5431003,573,533
619431856,5442891,567,533
619443782,5454817,567,536
619455689,5466724,560,547
619467596,5478631,572,549
619479467,5490502,570,554
619491300,5502335,568,558
619503207,5514242,562,553
619515096,5526131,566,541
619527021,5538056,570,542
619538947,5549982,561,539
619550891,5561926,562,537
619562799,5573834,564,548
619574687,5585722,567,552
619586594,5597629,564,539
619598539,5609574,566,547
619610464,5621499,579,542
619622335,5633370,570,543
619634242,5645277,568,539
619646131,5657166,569,537
619657982,5669017,576,553
619669926,5680961,568,560
619681797,5692832,564,542
